iter	MultiClass
193	0.6894591453
194	0.6893047757
195	0.6892274117
196	0.6887585735
197	0.6884939398
198	0.6882715295
199	0.6880952426
200	0.6876441838
201	0.6875125493
202	0.6873214106
203	0.6871547285
204	0.6870787989
205	0.6869207539
206	0.6868734684
207	0.6867485985
208	0.6865238494
209	0.6863224832
210	0.6862298641
211	0.6860407027
212	0.6859726422
213	0.6857909753
214	0.6856662702
215	0.6854235102
216	0.685144692
217	0.6851059523
218	0.6850286335
219	0.6849391056
220	0.684734691
221	0.6845683168
222	0.6843758347
223	0.6842251886
224	0.6840869048
225	0.6838177405
226	0.6835100373
227	0.6834194753
228	0.6830551123
229	0.6827879264
230	0.6823297472
231	0.6822405743
232	0.6820854926
233	0.6818606325
234	0.6817491847
235	0.6815973031
236	0.6814358355
237	0.6812623517
238	0.6809871187
239	0.6806701476
240	0.6804442388
241	0.6801805984
242	0.6799475724
243	0.6798509169
244	0.6797990932
245	0.6796705564
246	0.6795415817
247	0.6793515367
248	0.6791767155
249	0.6790050446
250	0.6789218906
251	0.678758318
252	0.6785186
253	0.6782378483
254	0.6780797555
255	0.6778948908
256	0.6777388824
257	0.6776620109
258	0.6775176167
259	0.6771722823
260	0.6770009714
261	0.6767777903
262	0.6766882035
263	0.6765774227
264	0.6765395666
265	0.6764355764
266	0.6763739755
267	0.6758332179
268	0.6756614281
269	0.6754294436
270	0.6751726226
271	0.6750477564
272	0.6747835493
273	0.6746572343
274	0.6743468662
275	0.6742491244
276	0.6741368751
277	0.6738973486
278	0.6737165055
279	0.6735504376
280	0.6731334405
281	0.6729344688
282	0.6728298048
283	0.6726619428
284	0.6722899972
285	0.6721663817
286	0.6720792676
287	0.6718225757
288	0.6715672471
289	0.6712973995
290	0.6711550109
291	0.6708579854
292	0.6707400939
293	0.670393769
294	0.6702434017
295	0.6700300803
296	0.6697430272
297	0.6695711617
298	0.6692279763
299	0.669026741
300	0.6689421234
301	0.6688338203
302	0.6687458787
303	0.6685937639
304	0.6683544881
305	0.6682025291
306	0.6679930045
307	0.6675998536
308	0.6673744713
309	0.6672232808
310	0.6670699306
311	0.6667741008
312	0.6664050146
313	0.6662895608
