iter	Passed	Remaining
410	4126	5913
411	4136	5903
412	4145	5892
413	4156	5882
414	4165	5871
415	4175	5861
416	4185	5851
417	4195	5841
418	4206	5832
419	4215	5821
420	4226	5812
421	4237	5803
422	4246	5792
423	4256	5782
424	4266	5771
425	4276	5762
426	4287	5752
427	4296	5742
428	4306	5732
429	4316	5721
430	4327	5712
431	4337	5702
432	4347	5692
433	4357	5682
434	4367	5672
435	4377	5662
436	4387	5652
437	4397	5642
438	4407	5632
439	4418	5623
440	4428	5613
441	4438	5603
442	4447	5592
443	4457	5582
444	4468	5572
445	4477	5561
446	4487	5552
447	4497	5542
448	4508	5532
449	4518	5523
450	4528	5512
451	4538	5502
452	4548	5491
453	4558	5481
454	4568	5471
455	4578	5461
456	4588	5451
457	4597	5441
458	4607	5430
459	4618	5421
460	4627	5411
461	4638	5401
462	4647	5390
463	4658	5381
464	4668	5371
465	4678	5361
466	4688	5350
467	4697	5340
468	4707	5330
469	4718	5320
470	4727	5310
471	4739	5301
472	4748	5290
473	4759	5281
474	4769	5271
475	4778	5260
476	4788	5250
477	4798	5240
478	4809	5230
479	4819	5221
480	4829	5211
481	4840	5201
482	4850	5192
483	4860	5181
484	4870	5171
485	4879	5160
486	4890	5151
487	4901	5142
488	4910	5131
489	4920	5121
490	4929	5110
491	4940	5101
492	4950	5091
493	4960	5080
494	4970	5070
495	4979	5059
496	4988	5049
497	4999	5039
498	5008	5028
499	5018	5018
500	5027	5007
501	5038	4998
502	5048	4988
503	5059	4978
504	5069	4968
505	5078	4958
506	5088	4948
507	5099	4938
508	5109	4928
509	5119	4919
510	5129	4908
511	5139	4898
512	5150	4889
513	5159	4878
514	5170	4869
515	5179	4858
516	5190	4848
517	5200	4838
518	5210	4828
519	5219	4818
520	5229	4807
521	5239	4797
522	5249	4788
523	5259	4777
524	5270	4768
525	5280	4758
526	5290	4748
527	5300	4737
528	5309	4727
529	5319	4717
530	5328	4706
531	5338	4696
532	5349	4686
533	5359	4676
534	5369	4667
535	5379	4656
536	5389	4646
537	5400	4637
538	5410	4627
539	5420	4617
540	5430	4607
541	5440	4597
542	5450	4587
543	5459	4576
544	5469	4566
545	5479	4555
546	5489	4546
547	5499	4536
548	5508	4525
549	5518	4515
550	5528	4504
551	5538	4495
552	5548	4485
553	5558	4474
554	5568	4464
555	5577	4454
556	5587	4444
557	5597	4434
558	5607	4424
559	5618	4414
560	5627	4403
561	5638	4394
562	5648	4384
563	5658	4374
564	5668	4364
565	5679	4354
566	5688	4344
567	5698	4334
568	5708	4324
569	5718	4314
570	5729	4304
571	5738	4293
572	5748	4283
573	5758	4273
574	5769	4264
575	5779	4254
576	5789	4244
577	5798	4233
578	5809	4223
579	5819	4213
580	5829	4203
581	5838	4193
582	5848	4183
583	5858	4173
584	5868	4163
585	5878	4152
586	5887	4142
587	5897	4132
588	5907	4122
589	5917	4112
590	5927	4102
591	5937	4091
592	5947	4082
593	5957	4071
594	5967	4061
595	5978	4052
596	5987	4041
597	5997	4031
598	6007	4021
599	6017	4011
600	6027	4001
601	6037	3991
602	6047	3981
603	6057	3971
604	6067	3961
605	6077	3951
606	6087	3941
607	6097	3931
608	6107	3920
609	6116	3910
610	6126	3900
611	6136	3890
612	6146	3880
613	6156	3870
614	6167	3860
615	6178	3851
616	6188	3841
617	6199	3831
618	6208	3821
619	6219	3812
620	6230	3802
621	6239	3792
622	6249	3782
623	6259	3772
624	6269	3761
625	6279	3751
626	6289	3741
627	6299	3731
628	6310	3721
629	6320	3711
630	6330	3702
631	6340	3691
632	6350	3681
633	6360	3671
634	6370	3661
635	6380	3651
636	6390	3641
637	6400	3631
638	6411	3621
639	6420	3611
640	6430	3601
641	6439	3590
642	6449	3580
643	6460	3571
644	6469	3560
645	6480	3551
646	6489	3540
647	6500	3531
648	6510	3520
649	6520	3510
650	6530	3500
651	6539	3490
652	6549	3480
653	6560	3470
654	6569	3460
655	6579	3450
656	6589	3439
657	6599	3430
658	6609	3420
659	6619	3410
660	6629	3399
661	6638	3389
662	6649	3379
663	6659	3369
664	6668	3359
665	6678	3349
666	6688	3339
667	6698	3329
668	6708	3319
669	6717	3308
670	6728	3298
671	6737	3288
672	6747	3278
673	6758	3268
674	6767	3258
675	6778	3248
676	6788	3238
677	6798	3228
678	6808	3218
679	6818	3208
680	6828	3198
681	6837	3188
682	6847	3178
683	6858	3168
684	6868	3158
685	6879	3148
686	6890	3139
687	6900	3129
688	6911	3119
689	6920	3109
690	6930	3099
691	6940	3089
692	6950	3079
693	6960	3068
694	6969	3058
695	6979	3048
696	6990	3039
697	7001	3029
698	7011	3019
699	7021	3009
700	7032	2999
701	7042	2989
702	7052	2979
703	7062	2969
704	7071	2958
705	7082	2949
706	7092	2939
707	7102	2929
708	7113	2919
709	7123	2909
710	7132	2899
711	7142	2889
712	7152	2879
713	7162	2869
714	7173	2859
715	7182	2848
716	7193	2839
717	7203	2829
718	7213	2819
719	7223	2808
720	7232	2798
721	7243	2788
722	7252	2778
723	7263	2768
724	7273	2758
725	7282	2748
726	7293	2738
727	7302	2728
728	7313	2718
729	7323	2708
730	7334	2698
731	7343	2688
732	7353	2678
733	7363	2668
734	7373	2658
735	7384	2648
736	7393	2638
737	7404	2628
738	7414	2618
739	7423	2608
740	7434	2598
741	7443	2588
742	7454	2578
743	7464	2568
744	7473	2558
745	7484	2548
746	7493	2538
747	7504	2528
748	7515	2518
749	7524	2508
750	7534	2498
751	7543	2487
752	7553	2477
753	7564	2468
754	7574	2457
755	7584	2447
756	7593	2437
757	7603	2427
758	7614	2417
759	7624	2407
760	7634	2397
761	7643	2387
762	7653	2377
763	7664	2367
764	7673	2357
765	7684	2347
766	7693	2337
767	7704	2327
768	7713	2317
769	7723	2306
770	7733	2296
771	7742	2286
772	7752	2276
773	7762	2266
774	7772	2256
775	7782	2246
776	7792	2236
777	7802	2226
778	7813	2216
779	7822	2206
780	7832	2196
781	7842	2186
782	7852	2176
783	7863	2166
784	7872	2156
785	7882	2146
786	7892	2135
787	7903	2126
788	7913	2116
789	7923	2106
790	7933	2096
791	7943	2086
792	7953	2076
793	7963	2066
794	7973	2056
795	7983	2046
796	7994	2036
797	8004	2026
798	8014	2016
799	8024	2006
800	8034	1996
801	8044	1986
802	8054	1975
803	8064	1965
804	8073	1955
805	8083	1945
806	8094	1935
807	8104	1925
808	8114	1915
809	8124	1905
810	8134	1895
811	8145	1885
812	8154	1875
813	8165	1865
814	8174	1855
815	8185	1845
816	8195	1835
817	8204	1825
818	8215	1815
819	8224	1805
820	8235	1795
821	8244	1785
822	8254	1775
823	8265	1765
824	8274	1755
825	8284	1745
826	8295	1735
827	8305	1725
828	8316	1715
829	8326	1705
830	8336	1695
831	8346	1685
832	8355	1675
833	8365	1665
834	8375	1655
835	8385	1644
836	8395	1634
837	8404	1624
838	8414	1614
839	8423	1604
840	8434	1594
841	8444	1584
842	8454	1574
843	8464	1564
844	8474	1554
845	8484	1544
846	8494	1534
847	8504	1524
848	8514	1514
849	8525	1504
850	8534	1494
851	8544	1484
852	8554	1474
853	8564	1464
854	8574	1454
855	8584	1444
856	8594	1434
